Alloy,No,Component,Fraction,a,delta,Tm,D_Tm,Hmix,σHmix,Sid,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,Phase,Phase_inshort
Al0.5CoCrCuFeNiV0.8,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.8,1.2752,0.0406,1755.223016,362.19,-4.7065,6.1169,1.9239,1.7919,0.1194,7.8571,2.4421,"158,095,238,095",27.6174,IM+SS,IM+SS
AlCoCrCu0.5FeNi2.5,6 ,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 2.5,1.2753,0.0506,1670.193571,356.41,-8.4490,5.9978,1.6682,1.8150,0.1175,8.0714,2.5203,"158,000,000,000",35.3109,SS,SS
CrCuFeMoNi,5 ,Cr Cu Fe Mo Ni,1 1 1 1 1,1.2754,0.0358,1994.554,521.01,4.6400,5.4523,1.6094,1.8920,0.1612,8.2000,2.0396,"176,000,000,000",30.0666,FCC,SS
Al0.5CoCrCuFeNiTi0.2,7 ,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.2,1.2760,0.0493,1701.702632,343.01,-4.1490,6.7937,1.8577,1.8058,0.1188,8.1228,2.4284,"156,140,350,877",30.3289,FCC,SS
Al0.5CoCrCuFeNiV1.0 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 1.0,1.2765,0.0404,1768.385385,364.15,-5.2544,6.1716,1.9251,1.7869,0.1208,7.7692,2.4543,"158,153,846,154",27.1912,IM+SS,IM+SS
CoFeNiVMo0.6,5,Co Fe Ni V Mo,1 1 1 1 0.6,1.2765,0.0344,2006,384.07,-9.5274,4.4706,1.5927,1.8578,0.1551,7.7391,1.8701,"180,000,000,000",20.8514,FCC+IM,IM+SS
FeNi2CrCuAl0.8,5 ,Fe Ni Cr Cu Al,1 2 1 1 0.8,1.2768,0.0496,1646.818276,374.87,-4.6136,6.2705,1.5496,1.8100,0.1196,8.1724,2.6532,"153,586,206,897",34.0036,SS,SS
AlCoCrFeNi2.1,5,Al Co Cr Fe Ni,1 1 1 1 2.1,1.2770,0.0538,1692.011475,370.24,-11.9430,5.5056,1.5529,1.8018,0.1204,7.7049,2.4916,"158,032,786,885",37.0476,FCC+B2,IM+SS
Co0.5CrFeMn1.5Ni ,5,Co Cr Fe Mn Ni,0.5 1 1 1.5 1,1.2773,0.0373,1776.3,230.59,-4.0400,2.3526,1.5571,1.7330,0.1464,7.8000,1.4000,"156,000,000,000",24.5764,FCC+IM,IM+SS
CuCoNiCrAl0.8Fe,6 ,Cu Co Ni Cr Al Fe,1 1 1 1 0.8 1,1.2777,0.0492,1653.714828,376.66,-3.6147,6.1025,1.7886,1.8048,0.1158,8.0000,2.5596,"153,586,206,897",34.0036,FCC+BCC,SS
AlCoCr2Cu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1 1 2 0.5 1 1,1.2780,0.0518,1735.285385,414.46,-7.1953,5.6410,1.7118,1.7692,0.1200,7.3077,2.4615,"153,230,769,231",34.7699,SS,SS
AlCo2CrCu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1 2 1 0.5 1 1,1.2783,0.0517,1671.900769,370.81,-7.6686,5.9054,1.7118,1.8031,0.1153,7.7692,2.4543,"156,307,692,308",36.0926,SS,SS
CoFeNi2V0.5Nb0.75,5,Co Fe Ni V Nb,1 1 2 0.5 0.75,1.2788,0.0506,1940.761905,353.95,-15.9093,7.6297,1.5013,1.8181,0.1189,8.2381,1.9495,"174,761,904,762",6.6326,FCC+Laves,IM+SS
Co2Mo0.5Ni2VW0.5,5,Co Mo Ni V W,2 0.5 2 1 0.5,1.2792,0.0357,2078.416667,590.22,-8.9444,4.5475,1.4452,1.9117,0.1883,8.1667,1.9508,"191,666,666,667",39.3347,FCC+Co7Mo6,IM+SS
CuNi2FeCrAl0.9,5 ,Cu Ni Fe Cr Al,1 2 1 1 0.9,1.2795,0.0515,1634.727627,382.92,-5.2169,6.3796,1.5561,1.8066,0.1214,8.0847,2.7140,"152,271,186,441",35.1702,FCC+BCC,SS
AlCoCrCu0.5Fe1.5Ni,6 ,Al Co Cr Cu Fe Ni,1 1 1 0.5 1.5 1,1.2798,0.0537,1667.475833,386.02,-7.1389,5.9164,1.7482,1.7925,0.1156,7.5833,2.4986,"153,500,000,000",36.4063,SS,SS
CuNi2FeMn2Cr,5 ,Cu Ni Fe Mn Cr,1 2 1 2 1,1.2800,0.0357,1691.824286,246.83,-0.4898,3.9036,1.5498,1.7586,0.1548,8.4286,1.7613,"152,857,142,857",24.3277,FCC,SS
AlCoCr1.5Cu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1 1 1.5 0.5 1 1,1.2804,0.0534,1698.225833,410.17,-7.5556,5.9007,1.7482,1.7783,0.1205,7.4167,2.5317,"152,666,666,667",36.1325,SS,SS
AlCo1.5CrCu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1 1.5 1 0.5 1 1,1.2806,0.0533,1663.8925,384.87,-7.8333,6.0520,1.7482,1.7967,0.1178,7.6667,2.5276,"154,333,333,333",36.8857,SS,SS
CoFeNi1.4VMo,5,Co Fe Ni V Mo,1 1 1.4 1 1,1.2806,0.0371,2051.333333,433.59,-9.1632,4.3532,1.5992,1.8841,0.1636,7.7778,1.8922,"183,703,703,704",23.2774,FCC+IM,IM+SS
CoFeMnNiV,5 ,Co Fe Mn Ni V,1 1 1 1 1,1.2808,0.0344,1801.8,215.39,-8.9600,4.3049,1.6094,1.7600,0.1434,7.8000,1.7205,"162,000,000,000",22.2711,FCC,SS
FeCoNiMnV,5,Fe Co Ni Mn V,1 1 1 1 1,1.2808,0.0344,1801.8,215.39,-8.9600,4.3049,1.6094,1.7600,0.1434,7.8000,1.7205,"162,000,000,000",22.2711,FCC+IM,IM+SS
CoCrCuFeNiTi0.8 ,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 0.8,1.2818,0.0570,1792.684483,249.79,-6.7539,8.1779,1.7886,1.7952,0.1332,8.1379,2.3003,"158,275,862,069",23.7906,IM+SS,IM+SS
FeNi2CrCuAl,5 ,Fe Ni Cr Cu Al,1 2 1 1 1,1.282,0.053170061,1623.04,390.17978,-5.777777778,6.473169273,1.560710409,1.803333333,0.122972445,8,2.768874621,1.51E+11,36.21693895,FCC+BCC,SS
MnCrFe1.5Ni0.5Al0.3,5 ,Mn Cr Fe Ni Al,1 1 1.5 0.5 0.3,1.2821,0.0470,1758.032791,321.27,-5.5057,3.7555,1.4818,1.7193,0.1297,7.1860,1.6461,"150,651,162,791",29.2979,FCC+BCC,SS
Al0.5CoCrCuFeNiTi0.4,7 ,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.4,1.282338983,0.054909985,1709.814407,339.9148922,-6.42344154,7.597097364,1.895815043,1.796779661,0.126242176,7.983050847,2.500789878,1.54576E+11,30.95770947,FCC+BCC,SS
CoCrMnNiV,5 ,Co Cr Mn Ni V,1 1 1 1 1,1.2824,0.0333,1875.6,263.70,-9.1200,4.3592,1.6094,1.7260,0.1429,7.4000,1.8547,"160,000,000,000",21.9089,FCC,SS
NiCoCrMnV,5,Ni Co Cr Mn V,1 1 1 1 1,1.2824,0.0333,1875.6,263.70,-9.1200,4.3592,1.6094,1.7260,0.1429,7.4000,1.8547,"160,000,000,000",21.9089,FCC+IM,IM+SS
FeCoNiCrAlCu,6,Fe Co Ni Cr Al Cu,1 1 1 1 1 1,1.2828,0.0528,1629.706667,392.25,-4.7778,6.3125,1.7918,1.7983,0.1191,7.8333,2.6719,"151,000,000,000",36.2169,BCC+B2+FCC(Cu rich),IM+SS
Cu0.5NiAlCoCrFe,6 ,Cu Ni Al Co Cr Fe,0.5 1 1 1 1 1,1.2833,0.0551,1654.428182,400.64,-7.9339,6.1785,1.7678,1.7891,0.1202,7.5455,2.6064,"152,000,000,000",37.6684,AM,AM
AlCoCrFeNi,5,Al Co Cr Fe Ni,1 1 1 1 1,1.2838,0.0578,1684.094,408.52,-12.3200,5.5047,1.6094,1.7780,0.1206,7.2000,2.4819,"153,200,000,000",39.3060,BCC+B2,IM+SS
Co5Cr2Mo3,3 ,Co Cr Mo,5 2 3,1.2842,0.0402,2188.8,488.46,-4.6000,1.1531,1.0297,1.9200,0.1778,7.5000,1.5000,"191,000,000,000",26.6271,IM,IM
Mo5Si3,2 ,Mo Si,5 3,1.2843,0.0792,2442.625,585.30,-32.8125,1.0590,0.6616,2.0625,0.1259,5.2500,0.9682,"181,250,000,000",62.9360,IM,IM
CoCrFeNiAl0.4MnV,7,Co Cr Fe Ni Al Mn V,1 1 1 1 0.4 1 1,1.2853,0.0432,1806.623125,325.11,-10.4297,5.1258,1.9136,1.7350,0.1357,7.2188,1.9801,"156,312,500,000",28.6012,IM,IM
Cu0.5Ti0.5CrFeCoNiAl0.5,7 ,Cu Ti Cr Fe Co Ni Al,0.5 0.5 1 1 1 1 0.5,1.2860,0.0597,1746.021818,335.17,-10.8430,7.9799,1.8938,1.7827,0.1309,7.6364,2.4596,"155,090,909,091",32.3207,FCC+BCC,SS
AlCo0.5CrCu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1 0.5 1 0.5 1 1,1.2865,0.0571,1643.071,418.51,-7.9200,6.2638,1.7481,1.7800,0.1224,7.4000,2.6907,"149,200,000,000",38.4000,SS,SS
AlCoCrCuFe0.5Ni,6 ,Al Co Cr Cu Fe Ni,1 1 1 1 0.5 1,1.2866,0.0540,1613.225455,405.70,-5.5537,6.4898,1.7678,1.7955,0.1240,7.8182,2.7902,"149,272,727,273",37.3511,SS,SS
CoCrFeNiAlNb0.1,6 ,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.1,1.2866,0.0592,1704.994118,430.64,-13.3180,5.9087,1.6744,1.7745,0.1219,7.1569,2.4763,"153,529,411,765",38.9884,BCC,SS
AlCoCr0.5Cu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1 1 0.5 0.5 1 1,1.2867,0.0570,1601.871,382.34,-8.3200,6.4661,1.7481,1.8020,0.1186,7.7000,2.6851,"151,200,000,000",39.4178,SS,SS
Al1.2CrCuFeNi2,5,Al Cr Cu Fe Ni,1.2 1 1 1 2,1.2868,0.0560,1600.795806,402.71,-6.7846,6.6222,1.5657,1.7971,0.1257,7.8387,2.8635,"148,580,645,161",38.0125,FCC+B2,IM+SS
Co2Mo0.8Ni2VW0.8,5,Co Mo Ni V W,2 0.8 2 1 0.8,1.2870,0.0389,2189.060606,673.51,-8.3012,4.3414,1.5211,1.9433,0.2078,7.9697,1.9615,"198,787,878,788",45.3777,FCC+Co7Mo6,IM+SS
AlCoCrCu0.5FeNi0.5,6 ,Al Co Cr Cu Fe Ni,1 1 1 0.5 1 0.5,1.2870,0.0568,1647.071,419.49,-7.2800,6.0935,1.7481,1.7770,0.1195,7.3000,2.6096,"149,200,000,000",38.4000,SS,SS
CoCrCuFeNiTi,6,Co Cr Cu Fe Ni Ti,1 1 1 1 1 1,1.2878,0.0612,1797.628333,247.03,-8.4444,8.5798,1.7918,1.7867,0.1388,8.0000,2.3805,"156,666,666,667",24.9444,FCC+Laves,IM+SS
Al0.5CrFeNiCoCuTi0.6,7 ,Al Cr Fe Ni Co Cu Ti,0.5 1 1 1 1 1 0.6,1.2882,0.0592,1717.394262,336.82,-8.3956,8.1944,1.9153,1.7884,0.1323,7.8525,2.5597,"153,114,754,098",31.4638,FCC+BCC,SS
CoCrFeNiAl1.17,5 ,Co Cr Fe Ni Al,1 1 1 1 1.17,1.2887,0.0602,1659.411973,423.46,-13.1004,5.6641,1.6073,1.7725,0.1223,7.0619,2.5531,"150,661,508,704",41.0327,BCC+BCC,SS
CrMnFe1.5Ni0.5Al0.5 ,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 0.5,1.2888,0.0516,1721.385556,357.07,-7.2593,4.3438,1.5230,1.7144,0.1288,7.0000,1.8257,"147,333,333,333",32.5098,BCC+IM,IM+SS
AlCrCuFeNi,5 ,Al Cr Cu Fe Ni,1 1 1 1 1,1.2892,0.0563,1602.048,424.32,-4.0000,6.4777,1.6094,1.7820,0.1242,7.6000,2.8705,"145,200,000,000",37.0427,FCC+BCC,SS
FeCoNiCuAl,5 ,Fe Co Ni Cu Al,1 1 1 1 1,1.2896,0.0561,1519.648,334.60,-5.2800,6.7031,1.6094,1.8260,0.1115,8.2000,2.7857,"149,200,000,000",39.4279,FCC+BCC,SS
FeCoNiCrTi,5,Fe Co Ni Cr Ti,1 1 1 1 1,1.2898,0.0668,1885.6,163.69,-16.3200,8.3717,1.6094,1.7640,0.1415,7.4000,2.1541,"160,000,000,000",26.0768,FCC+BCC+Co2Ti,IM+SS
CuCoNiCrAl1.3Fe,6 ,Cu Co Ni Cr Al Fe,1 1 1 1 1.3 1,1.2899,0.0569,1596.55254,410.51,-6.2383,6.5310,1.7864,1.7894,0.1229,7.6032,2.8033,"147,428,571,429",38.7854,FCC+BCC,SS
Co2V3,2 ,Co V,2 3,1.2900,0.0247,2017,203.31,-13.4400,0.2743,0.6730,1.7300,0.1225,6.6000,1.9596,"168,000,000,000",9.7980,IM,IM
FeCoNiMnMo,5,Fe Co Ni Mn Mo,1 1 1 1 1,1.2902,0.0421,1944.4,486.26,-4.0000,2.5060,1.6094,1.8660,0.1948,8.0000,1.4142,"176,000,000,000",34.9857,FCC+IM,IM+SS
AlCrCu0.5FeNi,5 ,Al Cr Cu Fe Ni,1 1 0.5 1 1,1.2904,0.0592,1629.19,438.96,-7.7037,6.2771,1.5811,1.7689,0.1241,7.2222,2.7800,"145,777,777,778",39.0036,SS,SS
Al0.8CrCuFe1.5MnNi,6 ,Al Cr Cu Fe Mn Ni,0.8 1 1 1.5 1 1,1.2905,0.0508,1626.673968,364.22,-3.3056,5.9779,1.7723,1.7544,0.1388,7.6825,2.4354,"145,365,079,365",32.9633,SS,SS
FeNiCoSiCrAlTi,7 ,Fe Ni Co Si Cr Al Ti,1 1 1 1 1 1 1,1.2906,0.0808,1721.21,356.73,-35.0204,14.6012,1.9459,1.7614,0.1426,6.2857,2.5475,"139,428,571,429",39.8098,SS,SS
AlCoCrFeNb0.25Ni,6,Al Co Cr Fe Nb Ni,1 1 1 1 0.25 1,1.2907,0.0610,1734.851429,458.77,-14.6576,6.4077,1.7242,1.7695,0.1236,7.0952,2.4670,"154,000,000,000",38.5252,BCC+Laves,IM+SS
Cu3Sb,2 ,Cu Sb,3 1,1.2910,0.0174,1244.2725,196.58,5.2500,0.7578,0.5623,1.9375,0.0650,9.5000,2.5981,"115,500,000,000",42.4352,IM,IM
AlCoCrCuNi,5 ,Al Co Cr Cu Ni,1 1 1 1 1,1.2912,0.0552,1593.448,420.41,-6.5600,6.6315,1.6094,1.7920,0.1295,7.8000,2.9257,"147,200,000,000",38.5663,FCC+BCC,SS
Fe3W2,2 ,Fe W,3 2,1.2914,0.0478,2564.6,922.97,0.0000,0.0000,0.6730,2.0420,0.2596,7.2000,0.9798,"226,000,000,000",68.5857,IM,IM
AlNi6Ta,3 ,Al Ni Ta,1 6 1,1.2923,0.0620,1823.93375,612.12,-20.3125,2.7147,0.7356,1.8213,0.1562,8.5000,2.6458,"169,500,000,000",35.9409,IM,IM
AlCoCrCu0.5Ni,5 ,Al Co Cr Cu Ni,1 1 1 0.5 1,1.2927,0.0581,1619.634444,435.35,-10.1728,6.6243,1.5811,1.7800,0.1311,7.4444,2.8717,"148,000,000,000",40.5737,SS,SS
Co1.5Cr2Fe1.5NiAlMn2V ,7,Co Cr Fe Ni Al Mn V,1.5 2 1.5 1 1 2 1,1.2930,0.0484,1761.097,365.52,-10.1500,5.1617,1.9037,1.7135,0.1332,6.9500,1.9615,"150,100,000,000",32.2892,IM,IM
Sm2Fe17Ni3,3 ,Sm Fe Ni,2 17 3,1.2934,0.1263,1757.331818,133.37,-2.6612,3.1930,0.6889,1.7809,0.1951,7.8182,1.6689,"159,363,636,364",38.5293,IM,IM
Al0.8CrCu1.5FeMnNi,6 ,Al Cr Cu Fe Mn Ni,0.8 1 1.5 1 1 1,1.2934,0.0496,1590.703333,366.61,-1.7435,6.1127,1.7723,1.7600,0.1430,7.9206,2.5961,"142,984,126,984",32.1719,SS,SS
CuNi2FeCrAl1.5,5 ,Cu Ni Fe Cr Al,1 2 1 1 1.5,1.2935,0.0593,1569.996154,417.48,-8.0473,6.7718,1.5650,1.7885,0.1289,7.6154,2.9752,"145,230,769,231",40.1270,FCC+BCC,SS
Al0.5CoCrCuFeNiTi0.8 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 0.8,1.2937,0.0626,1724.492857,333.74,-10.1083,8.6519,1.9239,1.7805,0.1373,7.7302,2.6077,"151,746,031,746",31.8698,IM+SS,IM+SS
FeCoNiCrCuAl1.5,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 1.5,1.2943,0.0589,1576.15,420.06,-7.0533,6.6282,1.7782,1.7838,0.1249,7.4615,2.8720,"145,230,769,231",40.1270,FCC+(FCC+BCC),SS
NbCrFeMnCoNi,6,Nb Cr Fe Mn Co Ni,1 1 1 1 1 1,1.2943,0.0549,1959.333333,404.12,-12.0000,6.6207,1.7918,1.7383,0.1406,7.5000,1.7078,"163,333,333,333",20.5480,IM+SS,IM+SS
Cu2Sb,2 ,Cu Sb,2 1,1.2953,0.0189,1206.44,214.01,6.2222,0.3666,0.6365,1.9500,0.0707,9.0000,2.8284,"107,333,333,333",46.1976,IM,IM
Al1.5CoCrCu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,1.5 1 1 0.5 1 1,1.2957,0.0611,1594.348333,432.26,-10.1389,6.4961,1.7482,1.7742,0.1253,7.1667,2.7938,"145,666,666,667",41.7359,SS,SS
Cr9Mo21Ni20,3 ,Cr Mo Ni,9 21 20,1.2957,0.0442,2299.92,531.65,-6.7200,1.8528,1.0395,1.9700,0.1841,7.6000,1.9596,"197,400,000,000",28.6224,IM,IM
BCaNi4,3 ,B Ca Ni,1 1 4,1.2967,0.2632,1729.166667,355.94,-16.2222,4.1351,0.8676,1.7800,0.3520,7.5000,3.5473,"176,166,666,667",87.6364,IM,IM
CoCrFeNiAlNb0.5,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.5,1.2970,0.0633,1780.994545,495.59,-16.5289,7.0344,1.7678,1.7618,0.1258,7.0000,2.4495,"154,727,272,727",37.7867,BCC+Laves,IM+SS
Al0.5CoCrCuFeNiTi1.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.0,1.2989,0.0653,1731.154615,330.69,-11.5976,9.0065,1.9251,1.7731,0.1414,7.6154,2.6469,"150,461,538,462",32.1932,IM+SS,IM+SS
TiVCrCuFeMnCoNi,8,Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1,1.2991,0.0550,1810.97125,271.77,-8.1250,7.2629,2.0794,1.7375,0.1486,7.5000,2.2913,"152,500,000,000",24.8747,IM+SS,IM+SS
Al0.8CrCuFeMn1.5Ni,6 ,Al Cr Cu Fe Mn Ni,0.8 1 1 1 1.5 1,1.2991,0.0505,1603.499365,361.03,-4.2328,6.0344,1.7723,1.7322,0.1471,7.6032,2.4400,"141,396,825,397",32.7678,SS,SS
W6Fe7,2 ,W Fe,6 7,1.2992,0.0483,2680.538462,939.21,0.0000,0.0000,0.6902,2.0746,0.2642,7.0769,0.9970,"234,615,384,615",69.7926,IM,IM
AlCrCuFeMnNi,6 ,Al Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.2993,0.0539,1588.206667,388.58,-5.1111,6.3588,1.7918,1.7433,0.1426,7.5000,2.6300,"141,000,000,000",35.0951,BCC,SS
TiCrFeMnCoNi,6,Ti Cr Fe Mn Co Ni,1 1 1 1 1 1,1.2998,0.0629,1824.5,202.47,-13.4444,7.5143,1.7918,1.7283,0.1518,7.3333,1.9720,"153,333,333,333",28.0872,IM+SS,IM+SS
AlCrFeNiMo0.5,5,Al Cr Fe Ni Mo,1 1 1 1 0.5,1.2999,0.0611,1800.104444,577.58,-11.8519,4.9666,1.5811,1.7978,0.1722,6.6667,2.4495,"155,777,777,778",46.9652,BCC+BCC,SS
CuCoNiCrAl1.8Fe,6 ,Cu Co Ni Cr Al Fe,1 1 1 1 1.8 1,1.3004,0.0613,1547.796471,431.37,-8.0796,6.7192,1.7613,1.7762,0.1273,7.2647,2.9537,"142,176,470,588",41.7284,FCC+BCC,SS
CoFeReRu,4 ,Co Fe Re Ru,1 1 1 1,1.3013,0.0437,2411.25,691.04,-1.5000,1.3110,1.3863,1.9525,0.1452,8.0000,0.7071,"235,000,000,000",80.1561,HCP,SS
AlCoCuNi,4 ,Al Co Cu Ni,1 1 1 1,1.30175,0.058520188,1446.81,336.7777121,-8,6.937218463,1.386294361,1.825,0.124599358,8.25,3.112474899,1.44E+11,42.52058325,FCC+BCC,SS
CoCrFeNiAlNb0.75,6,Co Cr Fe Ni Al Nb,1 1 1 1 1 0.75,1.30273913,0.065024412,1823.125217,523.4340257,-18.02646503,7.477701174,1.786723603,1.754782609,0.127411335,6.913043478,2.430119759,1.55391E+11,37.08713492,BCC+Laves,IM+SS
Al2CrCuFeNi2,5,Al Cr Cu Fe Ni,2 1 1 1 2,1.303428571,0.062974937,1524.53,434.415668,-9.632653061,6.883381307,1.549826046,1.775714286,0.132434042,7.285714286,3.103651569,1.40286E+11,42.58005665,A2+B2,IM
Al0.5CoCrCuFeNiTi1.2 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.2,1.303791045,0.067564849,1737.418657,327.6671612,-12.89374025,9.281372585,1.921180321,1.766119403,0.144799967,7.507462687,2.678678301,1.49254E+11,32.44804954,IM+SS,IM+SS
FeCoNiCrCuAl2.0,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.0,1.3041,0.0626,1530.244286,437.31,-8.6531,6.7508,1.7479,1.7714,0.1284,7.1429,2.9966,"140,285,714,286",42.5801,FCC+(FCC+BCC),SS
Co2Mo1.75Ni2VW1.75,5,Co Mo Ni V W,2 1.75 2 1 1.75,1.3044,0.0420,2436.382353,774.84,-6.7405,3.7057,1.5834,2.0141,0.2306,7.5294,1.9133,"214,705,882,353",53.2605,BCC+FCC+Co7Mo6,IM+SS
Al2CoCrCu0.5FeNi,6 ,Al Co Cr Cu Fe Ni,2 1 1 0.5 1 1,1.3062,0.0646,1543.511538,451.09,-11.5976,6.5843,1.7118,1.7615,0.1281,6.8462,2.9048,"140,307,692,308",44.1873,SS,SS
CrMnFe1.5Ni0.5Al1.2,5 ,Cr Mn Fe Ni Al,1 1 1.5 0.5 1.2,1.3081,0.0603,1615.32,427.39,-11.2870,5.2597,1.5563,1.7004,0.1250,6.4615,2.1791,"137,730,769,231",38.8251,BCC,SS
Al0.5CoCrCuFeNiTi1.4 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.4,1.3084,0.0694,1743.319565,324.68,-14.0223,9.4923,1.9135,1.7596,0.1476,7.4058,2.7044,"148,115,942,029",32.6455,IM+SS,IM+SS
CoCrFeNiAl2,5 ,Co Cr Fe Ni Al,1 1 1 1 2,1.3085,0.0668,1558.99,466.18,-15.4444,5.8899,1.5607,1.7500,0.1266,6.5000,2.7538,"140,333,333,333",45.9915,BCC+BCC,SS
AlCoCrCuFeNiTiV,8 ,Al Co Cr Cu Fe Ni Ti V,1 1 1 1 1 1 1 1,1.3094,0.0634,1737.78,392.55,-13.9375,8.7607,2.0794,1.7450,0.1403,7.0000,2.7386,"147,000,000,000",34.4674,FCC+BCC,SS
FeCoNiCrCuAl2.3,6 ,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.3,1.3094,0.0640,1505.719315,444.31,-9.3751,6.7637,1.7255,1.7648,0.1298,6.9726,3.0474,"137,643,835,616",43.6051,FCC+BCC,SS
FeNiCrMnTi,5,Fe Ni Cr Mn Ti,1 1 1 1 1,1.3096,0.0659,1835.8,220.06,-13.2800,7.2335,1.6094,1.6980,0.1488,7.0000,2.0000,"148,000,000,000",27.8568,FCC+BCC+IM,IM+SS
Mo3Si,2 ,Mo Si,3 1,1.3105,0.0694,2593.75,523.51,-26.2500,3.7889,0.5623,2.0950,0.1126,5.5000,0.8660,"197,500,000,000",56.2917,IM,IM
Cu0.5NiAlCoCrFeTi,7 ,Cu Ni Al Co Cr Fe Ti,0.5 1 1 1 1 1 1,1.3108,0.0699,1698.516154,382.77,-17.1834,9.3388,1.9251,1.7508,0.1425,7.0000,2.7175,"145,538,461,538",37.8186,AM,AM
Co0.5Cr0.5Fe0.5NiAlMnV0.5,7 ,Co Cr Fe Ni Al Mn V,0.5 0.5 0.5 1 1 1 0.5,1.3113,0.0556,1630.294,409.18,-15.9600,6.5994,1.8867,1.7140,0.1426,6.8000,2.4413,"142,200,000,000",39.2983,BCC,SS
